----[BEISTRICH GETRENNTE CSV!]
----Code, Parent Key Columns, Child Key Columns 
RRD_ARL,ARTIKELNR; HAUPTFIRMENNR,ARTIKELNR; FIRMENNR
SLK_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
SLP_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
SNR_ARL,VALID_ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
TRJ_ARL,ARTIKELNR; ARTIKELFIRMENNR,ARTIKELNR; FIRMENNR
TRP_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
TRT_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
VLJ_ARL,HAUPTFIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
VRD_ARL,VERLEIHARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
VST_ARL,HAUPT_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
VSW_ARL,ARTIKELNR; HAUPTFIRMENNR,ARTIKELNR; FIRMENNR
WAP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
WAS_ARL,ARTIKELNR; WAG_FIRMENNR,ARTIKELNR; FIRMENNR
WBD_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
WBE_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
WBW_ARL,HAUPTFIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
WEJ_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
WEN_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
WEO_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
WEP_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
WET_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
WEU_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
WFD_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
WRP_ARL,ARTIKELNR; HAUPTFIRMENNR,ARTIKELNR; FIRMENNR
WSK_ARL,HAUPTFIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
WSS_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
AAR_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
AVE_ARL,ARL_FIRMENNR; ERPESD_ARTIKELNR,FIRMENNR; ARTIKELNR
CHG_ARL,VALID_ARL_FIRMENNR; VALID_ARTIKELNR,FIRMENNR; ARTIKELNR
HBT_ARL,FIRMENNR_EINZELTEIL; ARTIKELNR_EINZELTEIL,FIRMENNR; ARTIKELNR
SNR_ARL,VALID_ARTIKELNR; VALID_ARL_FIRMENNR,ARTIKELNR; FIRMENNR
AVE_ARL,ARL_FIRMENNR; EFKESD_ARTIKELNR,FIRMENNR; ARTIKELNR
ARL_ARL,FIRMENNR; ZAEHLER_VERR_ARTIKELNR,FIRMENNR; ARTIKELNR
ARL_ARL,FIRMENNR; KOMBI_ARTIKELNR,FIRMENNR; ARTIKELNR
ARL_ARL,VERRECHN_ARTIKELNR; FIRMENNR,ARTIKELNR; FIRMENNR
ARL_ARL,FIRMENNR; GUTSCHEIN_ARTIKELNR,FIRMENNR; ARTIKELNR
AGP_ARS,FIRMENNR; STATISTIKLFDNR,FIRMENNR; STATISTIKLFDNR
CSI_ARS,ARS_FIRMENNR; ARS_STATISTIKLFDNR,FIRMENNR; STATISTIKLFDNR
PGP_ARS,ARS_STATISTIKLFDNR; ARS_FIRMENNR,STATISTIKLFDNR; FIRMENNR
