SKE_STEUER_ERKLNR (PK);SKE_STEUER_ERKLNR
SKE_ERKLERWLFDNR (PK);SKE_ERKLERWLFDNR
SKE_ERKLERWMODELL (PK);SKE_ERKLERWMODELL
SLB_FIRMENNR (PK);SLB_FIRMENNR
SLB_FIBUNR (PK);SLB_FIBUNR
SLB_KONTONR (PK);SLB_KONTONR
SLB_SLBKONTENGRUPPE (PK);SLB_SLBKONTENGRUPPE
SLZ_PER_FIRMENNR (PK);SLZ_PER_FIRMENNR
SLZ_PERSONENID (PK);SLZ_PERSONENID
SLZ_LOHNZJAHR (PK);SLZ_LOHNZJAHR
SLZ_LOHNZART (PK);SLZ_LOHNZART
SLZ_LOHNZLFDNR (PK);SLZ_LOHNZLFDNR
SLZ_LOHNZMODELL (PK);SLZ_LOHNZMODELL
SPW_SPIEGELLFDNR (PK);SPW_SPIEGELLFDNR
SPW_SPIEGELART (PK);SPW_SPIEGELART
SPW_SPIEGEL_VORJAHR (PK);SPW_SPIEGEL_VORJAHR
SPW_FIRMENNR (PK);SPW_FIRMENNR
SPW_FIBUNR (PK);SPW_FIBUNR
SPW_KONTONR (PK);SPW_KONTONR
SPW_PERIODE (PK);SPW_PERIODE
SRB_PER_FIRMENNR (PK);SRB_PER_FIRMENNR
SRB_PERSONENID (PK);SRB_PERSONENID
SRB_ERKLNR (PK);SRB_ERKLNR
SRB_ERKLUNTERNR (PK);SRB_ERKLUNTERNR
SRB_JAHR (PK);SRB_JAHR
SRB_MODELL (PK);SRB_MODELL
SRB_BUCHUNGSART (PK);SRB_BUCHUNGSART
SSU_STEUER_ERKLZUNR (PK);SSU_STEUER_ERKLZUNR
SSU_STEUER_ERKLNR (PK);SSU_STEUER_ERKLNR
SSU_ERKLERWLFDNR (PK);SSU_ERKLERWLFDNR
SSU_ERKLERWMODELL (PK);SSU_ERKLERWMODELL
SSU_FIRMENNR (PK);SSU_FIRMENNR
SSU_FIBUNR (PK);SSU_FIBUNR
SSU_KONTONR (PK);SSU_KONTONR
STS_FIR_FIRMENNR (PK);STS_FIR_FIRMENNR
STS_PERSONENID (PK);STS_PERSONENID
STS_STEUERSTAMMJAHR (PK);STS_STEUERSTAMMJAHR
STW_FIR_FIRMENNR (PK);STW_FIR_FIRMENNR
STW_PERSONENID (PK);STW_PERSONENID
STW_STEUERWERTJAHR (PK);STW_STEUERWERTJAHR
STW_MODELL (PK);STW_MODELL
STW_ERKLNR (PK);STW_ERKLNR
STW_STEUERWERTLFDNR (PK);STW_STEUERWERTLFDNR
STW_ERKLUNTERNR (PK);STW_ERKLUNTERNR
STW_VARIANTE (PK);STW_VARIANTE
TTB_TABJAHR (PK);TTB_TABJAHR
TTB_MODELL (PK);TTB_MODELL
TTB_TTBLFDNR (PK);TTB_TTBLFDNR
TTB_PER_FIRMENNR (PK);TTB_PER_FIRMENNR
TTB_PER_PERSONENID (PK);TTB_PER_PERSONENID
UDB_FIRMENNR (PK);UDB_FIRMENNR
UDB_FIBUNR (PK);UDB_FIBUNR
UDB_VORJAHR (PK);UDB_VORJAHR
UDB_PERIODE (PK);UDB_PERIODE
UEV_PER_FIRMENNR (PK);UEV_PER_FIRMENNR
UEV_PERSONENID (PK);UEV_PERSONENID
UEV_ERKLNR (PK);UEV_ERKLNR
UEV_ERKLUNTERNR (PK);UEV_ERKLUNTERNR
UEV_MODELL (PK);UEV_MODELL
UEV_ENTSTEHUNGSJAHR (PK);UEV_ENTSTEHUNGSJAHR
UEV_VERWERTUNGSJAHR (PK);UEV_VERWERTUNGSJAHR
VRG_PER_FIRMENNR (PK);VRG_PER_FIRMENNR
VRG_PERSONENID (PK);VRG_PERSONENID
VRG_VRGMODELL (PK);VRG_VRGMODELL
VRG_ERKLJAHR (PK);VRG_ERKLJAHR
VRG_VRGJAHR (PK);VRG_VRGJAHR
VRG_LFDNR (PK);VRG_LFDNR
VRG_ANRECHJAHR (PK);VRG_ANRECHJAHR
VVV_PER_FIRMENNR (PK);VVV_PER_FIRMENNR
VVV_PERSONENID (PK);VVV_PERSONENID
VVV_VVVMODELL (PK);VVV_VVVMODELL
VVV_ERKLJAHR (PK);VVV_ERKLJAHR
VVV_VVVJAHR (PK);VVV_VVVJAHR
VVV_VVVLFDNR (PK);VVV_VVVLFDNR
WAA_AKTENNR (PK);WAA_AKTENNR
WAA_AKTENLFDNR (PK);WAA_AKTENLFDNR
WAA_LANDNR (PK);WAA_LANDNR
WIB_WIBANR (PK);WIB_WIBANR
WIB_LANDNR (PK);WIB_LANDNR
WIC_WICHECKLISTID (PK);WIC_WICHECKLISTID
WID_WIPDOKID (PK);WID_WIPDOKID
WIK_WIVARKATID (PK);WIK_WIVARKATID
WIP_WIPRUEFUNGSID (PK);WIP_WIPRUEFUNGSID
WIV_WIVARIABLENID (PK);WIV_WIVARIABLENID
WPD_FIRMENNR (PK);WPD_FIRMENNR
WPD_FIBUNR (PK);WPD_FIBUNR
WPD_WPDLFDNR (PK);WPD_WPDLFDNR
XBR_FIRMENNR (PK);XBR_FIRMENNR
XBR_FIBUNR (PK);XBR_FIBUNR
XBR_XBRLTAG (PK);XBR_XBRLTAG
XBR_XBRLPARENT (PK);XBR_XBRLPARENT
XBR_YEARNO (PK);XBR_YEARNO
XBR_XBRLFDNR (PK);XBR_XBRLFDNR
XBR_XBRLART (PK);XBR_XBRLART
XBR_GESELLNR (PK);XBR_GESELLNR
ABF_ABFRAGEKZ (PK);ABF_ABFRAGEKZ
ABF_ABFRAGENR (PK);ABF_ABFRAGENR
AFI_ABFRAGEKZ (PK);AFI_ABFRAGEKZ
AFI_ABFRAGENR (PK);AFI_ABFRAGENR
AFI_FILTERNR (PK);AFI_FILTERNR
AFZ_ABFRAGEKZ (PK);AFZ_ABFRAGEKZ
AFZ_ABFRAGENR (PK);AFZ_ABFRAGENR
AFZ_TABELLENNAME (PK);AFZ_TABELLENNAME
AFZ_FELDNAME (PK);AFZ_FELDNAME
AKO_AGGKOPFID (PK);AKO_AGGKOPFID
APA_APAID (PK);APA_APAID
APK_AKTPROTID (PK);APK_AKTPROTID
APO_AGGKOPFID (PK);APO_AGGKOPFID
APO_AGGPOSNR (PK);APO_AGGPOSNR
APO_MCA_NAME (PK);APO_MCA_NAME
ASF_ASFID (PK);ASF_ASFID
ASJ_JOB_ID (PK);ASJ_JOB_ID
ATL_TABELLENNAME (PK);ATL_TABELLENNAME
ATL_FELDNAME (PK);ATL_FELDNAME
ATL_BMDGRUPPENID (PK);ATL_BMDGRUPPENID
