---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
ABM_ABMID,,,bigint (19. 0)
ABM_ABWESENDBIS,,,DATE
ABM_ABWESENDVON,,,DATE
ABM_ABWESENHEITART,,,N2
ABM_AE_VORHANDEN,,,N1
ABM_AENDERUNGSDATUM,,,DATE
ABM_ANMERKUNG,,,A255
ABM_ANSPRVERBRKZ,,,N1
ABM_AUVA_ERSTELLT,,,N1
ABM_AUVA_FERTIG,,,N1
ABM_BUAK_BETRAG,,,numeric (24. 9)
ABM_DATUM_ENDE_ENTGELT,,,DATE
ABM_DATUM_ENDE_WERT_FR,,,DATE
ABM_DATUM_ENDE_WERT1,,,DATE
ABM_DATUM_ENDE_WERT2,,,DATE
ABM_DATUM_ENDE_WERT3,,,DATE
ABM_DATUM_ENDE_WERT4,,,DATE
ABM_DIVNLZID,,,SEQID
ABM_EAEID,,,SEQID
ABM_ERFASSUNGSJAHR,,,N4
ABM_ERFASSUNGSMONAT,,,N2
ABM_ERSTELLDATUM,,,DATE
ABM_ERSTELLUSER,,,A10
ABM_ERSTERKRANKUNG,,,N1
ABM_ERSTERKRANKUNG_DATUM,,,DATE
ABM_FREMDVERSCHULDEN_KZ,,,N2
ABM_GESETZ,,,N2
ABM_IMPORTHERKUNFT,,,N2
ABM_ISTFOLGEERKRANKUNG,,,N1
ABM_KSB_KSBNR,,,N8
ABM_KSB_VERARBEITUNGSDATUM,,,DATE
ABM_LAQ_LOHNARTID,,,bigint (19. 0)
ABM_LETZTERUSER,,,A10
ABM_PFLG_ALTERKIND_KZ,,,N1
ABM_PSJ_DIENSTVLFDNR,,,N4
ABM_PSJ_FIRMENNR,,,N10
ABM_PSJ_LOHNJAHR,,,N4
ABM_PSJ_MITARBEITERID,,,A16
ABM_TAGERUHEND_AKTURLJAHR,,,N3
ABM_UNFALLTAG,,,DATE
ABM_URL_BEG_ALIQREST,,,DATE
ABM_URLAUBSVERBRAUCHSKZ,,,N2
ABM_VERKEHRSUNFALL_KZ,,,N2
ABM_WERT_FR_BEZAHLT,,,numeric (24. 9)
ABM_WERT_FR_VERWALTUNG,,,numeric (24. 9)
ABM_WERT_OG_BEZAHLT,,,numeric (24. 9)
ABM_WERT_OG_VERWALTUNG,,,numeric (24. 9)
ABM_WERT1_BEZAHLT,,,numeric (24. 9)
ABM_WERT1_VERWALTUNG,,,numeric (24. 9)
ABM_WERT2_BEZAHLT,,,numeric (24. 9)
ABM_WERT2_VERWALTUNG,,,numeric (24. 9)
ABM_WERT3_BEZAHLT,,,numeric (24. 9)
ABM_WERT3_VERWALTUNG,,,numeric (24. 9)
ABM_WERT4_BEZAHLT,,,numeric (24. 9)
ABM_WERT4_VERWALTUNG,,,numeric (24. 9)
ABN_ABMID,,,bigint (19. 0)
ABN_ABNID,,,bigint (19. 0)
ABN_ABWESENHEITART,,,N2
ABN_AENDERUNGSDATUM,,,DATE
ABN_ANSPRVERBRKZ,,,N1
ABN_BUAK_BETRAG,,,numeric (24. 9)
ABN_ERSTELLDATUM,,,DATE
ABN_ERSTELLUSER,,,A10
ABN_HERKUNFT,,,N2
ABN_ISTFEIERTAG,,,N1
ABN_ISTGEAENDERT,,,N1
ABN_LETZTERUSER,,,A10
ABN_NLZLOA_GRUPPE,,,N1
ABN_PERSFT_B,,,numeric (24. 9)
ABN_PERSFT_V,,,numeric (24. 9)
ABN_TAGESDATUM,,,DATE
ABN_WERT_BV_KRANK,,,numeric (24. 9)
ABN_WERT_FR_BEZAHLT,,,numeric (24. 9)
ABN_WERT_FR_KT_V,,,numeric (24. 9)
ABN_WERT_FR_VERWALTUNG,,,numeric (24. 9)
ABN_WERT_HALBERFT_BEZAHLT,,,numeric (24. 9)
ABN_WERT_HALBERFT_KRANK,,,numeric (24. 9)
ABN_WERT_OE_BEZAHLT,,,numeric (24. 9)
ABN_WERT_OE_KT_V,,,numeric (24. 9)
ABN_WERT_OE_VERWALTUNG,,,numeric (24. 9)
ABN_WERT_TEILENT_FT_43_B,,,numeric (24. 9)
ABN_WERT_TEILENT_FT_43_V,,,numeric (24. 9)
ABN_WERT_TEILENT_FT_B,,,numeric (24. 9)
ABN_WERT_TEILENT_FT_V,,,numeric (24. 9)
ABN_WERT_VIERTELFT_BEZAHLT,,,numeric (24. 9)
